num_features,auc_mean,auc_std
1,0.78937193568967712,0.0077981948208251219
6,0.94608360435072292,0.0051500263590134668
11,0.96366474671057678,0.007132260100318393
16,0.96801994761498911,0.004561900041865131
21,0.96622909846592853,0.0058866674510149215
26,0.96753356876667862,0.0069956480029066282
31,0.96696720058450591,0.0066602547441182913
36,0.9669228653790567,0.006478473454571464
41,0.96691676892430389,0.0071566232685178165
46,0.96676225608401678,0.0069327164873098229
51,0.96719180629653434,0.0061932127680287786
56,0.96675374987005258,0.0066933597589869075
61,0.96681629589777052,0.0062642351940765126
66,0.96629622874582322,0.0058570863437814331
71,0.96650025083317326,0.0065003728822609665
76,0.96628466522163359,0.0063230954173726364
81,0.96639245813504016,0.0063145815394363798
86,0.96574791926148573,0.0067517487905598217
91,0.97183296697408916,0.0061263191837733315
96,0.97174382311600027,0.006567248723283947
101,0.97201540496132877,0.0065324845174892492
106,0.97190713582175758,0.0070255272739369254
111,0.97186542258618591,0.0067193340851397854
116,0.97230306549996792,0.005213802552402353
121,0.97192985644789354,0.0062297917361343758
126,0.97181037260166536,0.0068567256297174519
131,0.9715968876629355,0.0065792879284962257
136,0.97176951914019949,0.0064569077250383224
141,0.97236675257728789,0.0056763473329568487
146,0.97240276672484571,0.0063042373777394533
151,0.97272967217936723,0.0061969862866095579
156,0.97272370143500531,0.0066866237586031742
161,0.97275545370098671,0.0066372792877277499
166,0.97268166066726292,0.0067710281916653148
171,0.97307592023056844,0.0069765895266133554
176,0.97324095114878006,0.0060527476930491465
181,0.97299297501768323,0.007071628649901341
186,0.9733526093123348,0.007216106858331163
191,0.97336511126780634,0.0069283176024059938
196,0.9737184614874741,0.0064679768929783738
201,0.97343965546556877,0.0067186243835526656
206,0.97340803793632147,0.0069010696238425186
211,0.97348934458251735,0.0065603944081889251
216,0.97337830621842159,0.0060892297657142089
221,0.97274433492418955,0.0067499245595087753
226,0.97378581984283863,0.0062247038476210817
231,0.97352751978169194,0.0067363711959838105
236,0.97374267348712762,0.0070752699734307582
241,0.97379456193333358,0.006646770386238207
246,0.97323700234017563,0.0070490440999177832
251,0.97936447903140111,0.006576469146031696
256,0.98093785035889758,0.0067516413005449596
261,0.98211183208824726,0.0065677815181955602
266,0.98305669933038653,0.0068698556418054033
271,0.9840831701783247,0.0057909535990998927
276,0.98367120661406215,0.0070317843219011873
281,0.98444430160779361,0.0057836970953309384
286,0.98416355326977389,0.0064433342695784752
291,0.9846403400318271,0.0063408575573050442
296,0.98475784387811105,0.0069547210322519412
301,0.98479496078049222,0.006622989405320143
306,0.98491177005901731,0.0063385277184876462
311,0.98517334499164477,0.0064863831594283387
316,0.98532432882653209,0.0059932455696649562
321,0.98464120913820552,0.0070639603796027444
326,0.98515031385939456,0.0066274776511695719
331,0.98492703116113534,0.0064453161607873023
336,0.98558750413371865,0.0057692391320324325
341,0.98492841549411014,0.0066465037306217634
346,0.98560886785665469,0.0058022907241316009
351,0.9857575018349154,0.0055756481792706711
356,0.98644335334175104,0.0053814017258299813
361,0.98522859395946083,0.0072042904024540132
366,0.98622657715766715,0.0060214497064968479
371,0.98538929850475387,0.0071348308758037559
376,0.98556338797276266,0.0070392126696711228
381,0.98645669836077776,0.0059733690571145519
386,0.98645381537999632,0.0059003969067123142
391,0.9857439238561464,0.0071196794927338427
396,0.98600405574536887,0.0064923854534874766
401,0.98620591577674555,0.0062730884210011346
406,0.98597906436654226,0.0066135252353327744
411,0.98656798566917381,0.0063030662310529402
416,0.98620685981833967,0.0059809101521085982
421,0.98620397965851025,0.006841653657553068
426,0.98697356748970133,0.0060344981076054412
431,0.98658792833952236,0.0061841189488603806
436,0.98650101972470783,0.0060318196515708935
441,0.98688370596192065,0.0062282696293446118
446,0.9861639141038101,0.0067139413569089626
451,0.98603270167426282,0.0069975414327180449
456,0.98623355417315683,0.0062988877659236192
461,0.98672132035482696,0.005616839955048354
466,0.98709613439198607,0.0054642651181882763
471,0.98606303621851499,0.0066040499824487307
476,0.98603791795805451,0.0066398292498482418
481,0.98654243256604357,0.0063155748933798033
486,0.98617776668886781,0.0065062851552035589
491,0.98632812175131535,0.0067291047595754291
496,0.98647363679240363,0.0060715336646532678
