num_features,auc_mean,auc_std
1,0.72564847529589982,0.0093944850227511006
6,0.85632010985831286,0.012962113114125474
11,0.94567228426251393,0.0079327039425289517
16,0.9595942395007826,0.0067928226727397246
21,0.96366007727227943,0.0066886968824246898
26,0.96624110788351336,0.0059618935736470927
31,0.96907004521257734,0.0054272032673790375
36,0.9725630686333343,0.0041657343887110182
41,0.97270983417627432,0.0043567742503849748
46,0.97393468029762098,0.0040763727432374334
51,0.9747128931525515,0.0039395214368155521
56,0.97534317317614105,0.0036150036677197752
61,0.97617848701784804,0.0033102621535916294
66,0.97601447126221885,0.0034796172034980539
71,0.97743614992034877,0.0032462474699932382
76,0.97876008750848165,0.0032406492883766385
81,0.97896249516853628,0.0030277100949682094
86,0.97973450990729716,0.0029553514233433861
91,0.98020288031015923,0.0029300449880783775
96,0.98126320209929674,0.0026861046273066176
101,0.98130117079896462,0.0028932499076911272
106,0.98280248941993553,0.0028472516302575049
111,0.9836566926377488,0.0027828451045095229
116,0.98330189772370868,0.00280486134487953
121,0.98380335663879526,0.0026655523154367126
126,0.98378186969797621,0.0026067028483772042
131,0.98398382299369103,0.0029589169995469823
136,0.98452174839224693,0.0024161461446330561
141,0.98500229052940513,0.0025190755515499884
146,0.98573884395338363,0.0022478912424097313
151,0.98568217870388752,0.0021861560027486016
156,0.98588181828749488,0.0023629238077844451
161,0.98564498677032797,0.0024271483678429623
166,0.98581116078076136,0.0022357522979506842
171,0.98602831158517279,0.0023412954455704679
176,0.98583739987492669,0.0023869715771573366
181,0.98619628897122602,0.0021824306209298704
186,0.98660303961489437,0.0022720071063121795
191,0.98692429388395819,0.0020821723160415325
196,0.98666140509142719,0.0024227510512868592
201,0.9867579076671571,0.002274500230904644
206,0.98666430616739054,0.0023148317431678773
211,0.98697460422572414,0.0023095167049291365
216,0.9870674614339443,0.0020210627875815556
221,0.98697888194351524,0.0023177339168230122
226,0.9871287065360419,0.002017289770851337
231,0.98740615097146955,0.0021578700360882267
236,0.98750552979418027,0.0019847864585104723
241,0.98735504208589331,0.002216479160772286
246,0.98700344421479669,0.0022806588101079448
251,0.98731184778265191,0.0021993627209694745
256,0.98738022648354185,0.0021916304102114563
261,0.98727209020499274,0.0020909046475884306
266,0.98723698619013156,0.0022611500363499903
271,0.98733343118169636,0.0023840853320799211
276,0.98763581368657005,0.0020829357365127802
281,0.98779183008866167,0.0021082646855001465
286,0.98767539602348564,0.0020883261017897699
291,0.98766085426302641,0.0022554412591007712
296,0.98776656077227165,0.0022248601606811233
301,0.98756368194386801,0.0022726969240765399
306,0.98805214196146873,0.0019522102572638094
311,0.98800085652111758,0.0022063469042871466
316,0.98781660707887475,0.0020919319613859327
321,0.98794775159403359,0.002101471318830189
326,0.98790268712889917,0.0019080083066969969
331,0.98784332990772805,0.002231582631791153
336,0.98791699142801903,0.0022363988976751917
341,0.98810640836998387,0.0019570033791885418
346,0.98805161476971615,0.0021296462065720782
351,0.98816545744839246,0.0021540226223239747
356,0.98804543496722586,0.0021275273682293777
361,0.98793465894350552,0.0020253325924819432
366,0.9881088436409674,0.0019706289616653887
371,0.98813530243704339,0.0020687245338336271
376,0.98824205081248817,0.0019817084765246392
381,0.98791087374498465,0.002048113936784713
386,0.98821934349598295,0.0019872502051554468
391,0.98833856978856993,0.0020385976422886217
396,0.98839176379908467,0.0018810990522223142
401,0.98791289215218026,0.002132478203096008
406,0.9883201511699361,0.0019283023017270205
411,0.98834870015088283,0.0018241039933433372
416,0.98822767560883695,0.0021842113769317065
421,0.98816626291702447,0.0020295486646201796
426,0.98844269568745524,0.0018021245503932145
431,0.98820991573249195,0.0021010932214435324
436,0.98836937907064004,0.0019012367449451645
441,0.98828454283813238,0.0018746988178131915
446,0.98839180484158429,0.0020227342838900399
451,0.98826492027020441,0.0020702682207840951
456,0.9883175653518157,0.0018453697510206174
461,0.98844829166924186,0.0018330570062265244
466,0.98840489584043278,0.0020164227620272047
471,0.98804960528551233,0.0021461511997591808
476,0.98828124742533952,0.0020505351935981007
481,0.98840864446968779,0.0020343060592793115
486,0.98834064965948165,0.001850314529993872
491,0.98813987081382793,0.0020124724928308698
496,0.98814418377813551,0.0019895716482844377
