num_features,auc_mean,auc_std
1,0.76219747949583172,0.011214464917945732
51,0.97241921541400633,0.0050064283535570277
101,0.97986896964074199,0.0041383303251306802
151,0.98038732156830588,0.0050950738968648457
201,0.97995125903806768,0.0044162639673147397
251,0.97974147459702832,0.004988223756676023
301,0.98020313171941886,0.004022084518302757
351,0.97964170088535663,0.0045365338565666481
401,0.97884753505171074,0.0045884619797096236
451,0.97980014566542539,0.004930612662502336
