num_features,auc_mean,auc_std
1,0.51636776823865471,0.0043641066444368446
51,0.84546743611113251,0.012013836087937567
101,0.87577956694549353,0.017903550585949033
151,0.87123348697255332,0.0082881295441769951
201,0.87654758911671027,0.011270345072001798
251,0.8751091563846698,0.0094502466394817547
301,0.88815062109268028,0.018672175533894542
351,0.89964514406571261,0.0069105224747519718
401,0.90051200299054557,0.0083724052302461965
451,0.90990718839304119,0.011209989390413394
