num_features,auc_mean,auc_std
1,0.62098467571283955,0.0011697542096535032
6,0.95696330901600457,0.005123614624133562
11,0.97408130532001835,0.0033479398946015242
16,0.98268721558836114,0.0042278296380503545
21,0.98399235389358353,0.0040680153415432532
26,0.98553497642370269,0.0035585559163918159
31,0.98674426202873078,0.0036435466055915952
36,0.98696157710554144,0.0033305617569169732
41,0.98770186650978786,0.0033719324154768021
46,0.98790838646349011,0.0036992670242140774
51,0.98823678925411396,0.0040533238951295869
56,0.98861976048450695,0.0033698386307537847
61,0.98863263817637392,0.0033094538951996557
66,0.99064029844370705,0.0033720259686267633
71,0.99070731616375096,0.0036873873670865828
