num_features,auc_mean,auc_std
1,0.70067923984361102,0.0070734229951879011
51,0.91103198597803992,0.0075756292005976422
101,0.93340311416677046,0.00795196696645303
151,0.9376926681340878,0.0068220458060997118
201,0.93578137060767019,0.0099353771409251661
251,0.93439177458868805,0.009174364934285504
301,0.93385022614472391,0.004273071237410369
351,0.93700589467829909,0.0087600607335734954
401,0.9290973336898779,0.0065722934871243919
451,0.93363347625978244,0.0082262713740675515
501,0.93236384736352562,0.0073884968136879101
