num_features,auc_mean,auc_std
1,0.66433742420118103,0.0075186633960778945
51,0.82521499887905136,0.0053056771434054385
101,0.85159702782282887,0.0087528264968348701
151,0.87300432924331339,0.0067257423364244636
201,0.89010233399600303,0.010418271634436375
251,0.87061398790416822,0.013357699585143447
301,0.87902744286127621,0.016997789517366295
351,0.897998720367152,0.0074961528182853204
401,0.90134755596143712,0.005367798790589135
451,0.90684486703923495,0.0049724766703776362
