num_features,auc_mean,auc_std
1,0.77522404779654219,0.0077200428893064209
6,0.99677276962114969,0.0014945512750359246
11,0.99939599850186722,0.00055329339416922401
16,0.99957364651326108,0.00042689285486640228
21,0.99964865374287371,0.00035181558337944984
26,0.99967376892995086,0.00037207230751896557
31,0.99961067082494026,0.0005026899542288889
36,0.99962137130435025,0.00051745510241761714
41,0.99966743188969009,0.00046207121473911732
46,0.99969542512139575,0.00046220649094516354
51,0.99967892180954476,0.00047820640730069058
56,0.99967748835189529,0.00046848450130113702
61,0.999672733160345,0.00048884924869686147
66,0.99966558961466756,0.00045381366892862111
71,0.99967669891145072,0.00046983777592324197
76,0.99967468301888673,0.00047329382645553851
81,0.9996910357138109,0.00044527474433434471
86,0.99965178924599285,0.0005125767970078158
91,0.9996744248184406,0.00048593971102192955
96,0.99966854800531135,0.00047014792126190809
101,0.99966574542528153,0.0004886225494418197
106,0.99958832387310648,0.00062172157609158036
111,0.99958461081648897,0.00060107240178043989
116,0.99961883869862334,0.00054211661541002073
121,0.99956180162649999,0.00064039376409064824
126,0.99957807249149822,0.00062579544124632524
131,0.99955488543141668,0.00067932868915769075
136,0.99956139831508484,0.00066810421372150174
141,0.99950711018736693,0.00076171654295036843
146,0.99952652641574569,0.00071568181701873491
151,0.99953209924204223,0.00069373047308803797
156,0.99953763051884148,0.00070907487873543887
161,0.99954714609562934,0.00069266923736233988
166,0.99948602084977511,0.00079810864430038665
171,0.99945844195321265,0.00083253695849183661
176,0.99937114931841786,0.00095741002357663978
181,0.99941232984887385,0.0008999349322912954
186,0.99941820390902425,0.00090244450565552295
191,0.99947708325616991,0.00081353516982738945
196,0.99943880504002514,0.00089248249700460999
201,0.99936806278434864,0.0010013598447729229
206,0.99940068634427104,0.00095837804619240631
211,0.99938893822397035,0.00095296031213214997
216,0.99936405675281426,0.00099592237575228085
221,0.99942191145968373,0.00089604626484135507
226,0.99940167759655862,0.00094375754921428021
231,0.99940625917056747,0.00093584231077585979
236,0.99940666798794076,0.00093513604466680057
241,0.99940079392779035,0.00093249378365513759
246,0.99940079392779035,0.00093249378365513759
251,0.99939757977740862,0.00093804208444314674
256,0.99937267011195097,0.00098104862665307361
261,0.99946557033570094,0.00082073024614313103
266,0.99946557033570094,0.00082073024614313103
271,0.99947660840477481,0.00080169749567449622
276,0.99941762147410973,0.000916214033475226
281,0.99941174741395933,0.00091358747393480318
286,0.99941762147410973,0.000916214033475226
291,0.99941762147410973,0.000916214033475226
296,0.9994594380751044,0.00083130569678046076
301,0.99947763304505099,0.00081258616040778397
306,0.99945394983171254,0.0008534731333644061
311,0.99941511218126777,0.0009205486239787172
316,0.99946580553553255,0.00083300366787304769
321,0.99946580553553255,0.00083300366787304769
326,0.99941037553860013,0.00092873106866722622
331,0.99941037553860013,0.00092873106866722622
336,0.9994144073237281,0.00092176622528853237
341,0.9993882994004526,0.00096687194828271386
346,0.9993829847746023,0.00097605513514671075
351,0.9994456607070441,0.00086778655204653506
356,0.9994456607070441,0.00086778655204653506
361,0.99943260674540646,0.00089033060966981338
366,0.99937927722394271,0.00098246168721452293
371,0.99945056651552155,0.00085931516869881775
376,0.99938420603303446,0.00094843366718644871
381,0.99946100879448529,0.00089332708821366551
386,0.99944741839916196,0.00087759530172761208
391,0.99944741839916196,0.00087759530172761208
396,0.99938465788381525,0.00098609145756669843
401,0.99938465788381525,0.00098609145756669843
406,0.99941768750813176,0.00092898599633691457
